calc_id,stock_code,company_name,metric_name,input_1,input_2,formula_or_logic,output_value,unit,calculation_required,calculation_replayed,linked_claim_id,notes
CALC-00001,00018.HK,东方传媒集团,weighted_total_score,synergy_score=5.0; value_creation_score=7.8; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,6.01,points,No,No,CLM-CALC-00001,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00002,00021.HK,大中华控股,weighted_total_score,synergy_score=5.0; value_creation_score=8.3; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,6.17,points,No,No,CLM-CALC-00002,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00003,00022.HK,茂盛控股,weighted_total_score,synergy_score=5.0; value_creation_score=8.3; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,6.17,points,No,No,CLM-CALC-00003,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00004,00031.HK,航天控股,weighted_total_score,synergy_score=5.0; value_creation_score=7.5; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.92,points,No,No,CLM-CALC-00004,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00005,00040.HK,金山科技工业,weighted_total_score,synergy_score=5.0; value_creation_score=7.0; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.77,points,No,No,CLM-CALC-00005,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00006,00050.HK,香港小轮（集团）,weighted_total_score,synergy_score=5.0; value_creation_score=7.5; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.92,points,No,No,CLM-CALC-00006,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00007,00052.HK,大快活集团,weighted_total_score,synergy_score=5.0; value_creation_score=7.0; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.77,points,No,No,CLM-CALC-00007,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00008,00055.HK,中星集团控股,weighted_total_score,synergy_score=5.0; value_creation_score=9.0; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,6.37,points,Yes,Yes,CLM-CALC-00008,Auto-replayed from candidate DD score inputs; formula matched stored weighted_total_score. | Calculation replayed automatically at 2026-06-02T14:45:48; formula output matched to 2 decimals.
CALC-00009,00057.HK,震雄集团,weighted_total_score,synergy_score=5.0; value_creation_score=6.8; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.71,points,No,No,CLM-CALC-00009,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
CALC-00010,00063.HK,中亚烯谷集团,weighted_total_score,synergy_score=5.0; value_creation_score=7.5; transaction_feasibility_score=6.0; risk_control_score=4.5,weights: synergy 0.30; value_creation 0.30; transaction_feasibility 0.25; risk_control 0.15,weighted_total_score = synergy_score*0.30 + value_creation_score*0.30 + transaction_feasibility_score*0.25 + risk_control_score*0.15,5.92,points,No,No,CLM-CALC-00010,Non-material scaffold ranking row; replay not required unless promoted into shortlist / final delivery scope.
